"sep=	"
Shimmer_B640_Timestamp_FormattedUnix_CAL	Shimmer_B640_Accel_LN_X_CAL	Shimmer_B640_Accel_LN_Y_CAL	Shimmer_B640_Accel_LN_Z_CAL	Shimmer_B640_GSR_CAL	Shimmer_B640_PPGToHR_PPG_A13_CAL	Shimmer_B640_PPG_A13_CAL	
yyyy/mm/dd hh:mm:ss.000	m/(s^2)	m/(s^2)	m/(s^2)	kOhms	BPM	mV	
2015/06/23 15:51:15.282	6.1566265060241	-0.228915662650602	7.73493975903615	1257.4586157795	-1.0	1180.95238095238	
2015/06/23 15:51:15.290	6.13253012048193	-0.240963855421687	7.74698795180723	1257.4586157795	-1.0	1175.82417582418	
2015/06/23 15:51:15.298	6.12048192771084	-0.216867469879518	7.74698795180723	1258.17974104145	-1.0	1171.42857142857	
2015/06/23 15:51:15.306	6.14457831325301	-0.228915662650602	7.73493975903615	1257.4586157795	-1.0	1168.49816849817	
2015/06/23 15:51:15.314	6.16867469879518	-0.240963855421687	7.73493975903615	1258.17974104145	-1.0	1169.23076923077	
2015/06/23 15:51:15.321	6.16867469879518	-0.204819277108434	7.73493975903615	1257.4586157795	-1.0	1171.42857142857	
2015/06/23 15:51:15.329	6.1566265060241	-0.228915662650602	7.73493975903615	1258.17974104145	-1.0	1172.16117216117	
2015/06/23 15:51:15.337	6.1566265060241	-0.228915662650602	7.73493975903615	1258.17974104145	-1.0	1172.16117216117	
2015/06/23 15:51:15.345	6.13253012048193	-0.253012048192771	7.73493975903615	1258.17974104145	-1.0	1170.69597069597	
2015/06/23 15:51:15.353	6.14457831325301	-0.228915662650602	7.73493975903615	1258.17974104145	-1.0	1167.03296703297	
2015/06/23 15:51:15.361	6.12048192771084	-0.228915662650602	7.73493975903615	1258.17974104145	-1.0	1167.03296703297	
2015/06/23 15:51:15.368	6.14457831325301	-0.228915662650602	7.73493975903615	1258.17974104145	-1.0	1164.83516483516	
2015/06/23 15:51:15.376	6.14457831325301	-0.228915662650602	7.73493975903615	1258.90169387741	-1.0	1162.63736263736	
2015/06/23 15:51:15.384	6.1566265060241	-0.228915662650602	7.73493975903615	1258.17974104145	-1.0	1159.70695970696	
2015/06/23 15:51:15.392	6.16867469879518	-0.240963855421687	7.72289156626506	1257.4586157795	-1.0	1156.77655677656	
2015/06/23 15:51:15.400	6.18072289156627	-0.216867469879518	7.71084337349398	1258.17974104145	-1.0	1155.31135531136	
2015/06/23 15:51:15.407	6.14457831325301	-0.240963855421687	7.73493975903615	1258.90169387741	-1.0	1153.84615384615	
2015/06/23 15:51:15.415	6.13253012048193	-0.240963855421687	7.74698795180723	1258.90169387741	-1.0	1153.84615384615	
2015/06/23 15:51:15.423	6.13253012048193	-0.216867469879518	7.73493975903615	1258.90169387741	-1.0	1153.84615384615	
2015/06/23 15:51:15.431	6.14457831325301	-0.228915662650602	7.74698795180723	1258.17974104145	-1.0	1154.57875457875	
2015/06/23 15:51:15.439	6.14457831325301	-0.240963855421687	7.73493975903615	1258.17974104145	-1.0	1155.31135531136	
2015/06/23 15:51:15.446	6.16867469879518	-0.228915662650602	7.69879518072289	1258.17974104145	-1.0	1156.04395604396	
2015/06/23 15:51:15.454	6.18072289156627	-0.204819277108434	7.73493975903615	1258.90169387741	-1.0	1158.24175824176	
2015/06/23 15:51:15.462	6.1566265060241	-0.204819277108434	7.73493975903615	1258.17974104145	-1.0	1158.97435897436	
2015/06/23 15:51:15.470	6.12048192771084	-0.204819277108434	7.72289156626506	1258.17974104145	-1.0	1158.97435897436	
2015/06/23 15:51:15.478	6.14457831325301	-0.228915662650602	7.74698795180723	1258.90169387741	-1.0	1159.70695970696	
2015/06/23 15:51:15.486	6.13253012048193	-0.253012048192771	7.74698795180723	1258.90169387741	-1.0	1158.97435897436	
2015/06/23 15:51:15.493	6.1566265060241	-0.240963855421687	7.74698795180723	1258.90169387741	-1.0	1159.70695970696	
2015/06/23 15:51:15.501	6.1566265060241	-0.253012048192771	7.74698795180723	1258.90169387741	-1.0	1159.70695970696	
2015/06/23 15:51:15.509	6.1566265060241	-0.204819277108434	7.74698795180723	1258.17974104145	-1.0	1158.24175824176	
2015/06/23 15:51:15.517	6.1566265060241	-0.192771084337349	7.72289156626506	1258.90169387741	-1.0	1156.77655677656	
2015/06/23 15:51:15.525	6.1566265060241	-0.204819277108434	7.71084337349398	1258.17974104145	-1.0	1153.11355311355	
2015/06/23 15:51:15.532	6.14457831325301	-0.216867469879518	7.73493975903615	1258.90169387741	-1.0	1150.91575091575	
2015/06/23 15:51:15.540	6.14457831325301	-0.240963855421687	7.72289156626506	1258.90169387741	-1.0	1151.64835164835	
2015/06/23 15:51:15.548	6.14457831325301	-0.240963855421687	7.74698795180723	1258.90169387741	-1.0	1153.11355311355	
2015/06/23 15:51:15.556	6.14457831325301	-0.228915662650602	7.74698795180723	1258.90169387741	-1.0	1158.24175824176	
2015/06/23 15:51:15.564	6.1566265060241	-0.240963855421687	7.73493975903615	1258.90169387741	-1.0	1168.49816849817	
2015/06/23 15:51:15.571	6.18072289156627	-0.204819277108434	7.72289156626506	1258.90169387741	-1.0	1181.68498168498	
2015/06/23 15:51:15.579	6.18072289156627	-0.180722891566265	7.72289156626506	1258.90169387741	-1.0	1198.5347985348	
2015/06/23 15:51:15.587	6.19277108433735	-0.192771084337349	7.72289156626506	1258.90169387741	-1.0	1221.24542124542	
2015/06/23 15:51:15.595	6.19277108433735	-0.228915662650602	7.71084337349398	1259.6244757128	-1.0	1250.54945054945	
